TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201200A,451140,Musical instrument & supplies stores,222,$55199300.88
200900A,238110,Poured concrete foundation & structure contractors,176,$245928778.00
200900A,448210,Shoe stores,347,$185334575.00
200600A,441120,Used car dealers,129,$59626357.00
200900A,541310,Architectural services,971,$631664331.00
201200A,234920,Power and Communication Transmission Line Construction (1997 NAICS),48,$49498453.00
200900A,722410,Drinking places (alcoholic beverages),222,$56306238.00
200600A,711510,"Independent artists, writers, & performers",3215,$327406289.76
201400A,446120,"Cosmetics, beauty supplies, & perfume stores",1305,$285268769.04
201500A,445220,Fish & seafood markets,97,$88505686.63
201700A,811110,Automotive mechanical & electrical repair & maintenance,34,$886494.00
201600A,523900,Other financial investment activities (including investment advice),2587,$6186880412.00
200900A,811110,Automotive mechanical & electrical repair & maintenance,1127,$104837197.00
200900A,445230,Fruit & vegetable markets,473,$1299278460.00
201500A,238290,Other building equipment contractors,487,$366571592.94
200600A,516110,Internet publishing & broadcasting,638,$91698777.00
200900A,812920,Photofinishing,111,$7643160.00
201200A,711510,"Independent artists, writers, & performers",12798,$1281699584.44
201200A,523210,Securities & commodity exchanges,13,$85720422.00
201300A,541940,Veterinary services,255,$224937378.00
200700A,423300,Lumber & other construction materials,270,$842331086.00
201000A,335000,"Electrical equipment, appliance, & component mfg.",305,$100091554.00
201400A,211110,Oil & gas extraction,102,$288376267.00
200800A,331000,Primary metal mfg.,28,$37724468.00
200500A,561730,Landscaping services,1839,$61840181.32
200500A,561110,Office administrative services,815,$194080614.85
201300A,522200,Nondepository credit intermediation (including sales financing & consumer lending),459,$151233130.00
201400A,441110,New car dealers,355,$4299789439.00
200600A,531210,Offices of real estate agents & brokers,1399,$982861009.54
200500A,311800,Bakeries & tortilla mfg.,264,$71103818.00
201300A,322000,Paper mfg.,71,$35126569.00
200700A,519100,Other information services (including news syndicates and libraries),230,$140248391.00
200500A,812920,Photofinishing,74,$6327242.87
200900A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",388,$186686025.00
201300A,621400,Outpatient  care centers,443,$332816003.50
201700A,531210,Offices of real estate agents & brokers,109,$8990782.00
201200A,541213,Tax preparation services,1140,$185160422.00
201600A,621111,Offices of physicians (except mental health specialists),5774,$3564177996.98
201700A,423200,Furniture &  home furnishing,9,$5008232.00
200800A,811430,Footwear & leather goods repair,133,$5612371.00
201100A,448150,Clothing accessories stores,773,$193550599.30
200600A,323100,Printing & related support activities,643,$539374740.10
201700A,532400,Commercial & industrial machinery & equipment rental & leasing,22,$7835894.00
201200A,233210,Single Family Housing Construction (1997 NAICS),7499,$1396753335.57
200500A,234110,Highway and Street Construction (1997 NAICS),28,$58112357.34
201400A,812920,Photofinishing,147,$9664111.00
201200A,321000,Wood product mfg.,169,$14610805.00
200500A,423940,"Jewelry, watch, precious stone, & precious metals",1649,$1152545070.23
201100A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1151,$333265145.42
200700A,423100,Motor vehicle & motor vehicle parts & supplies,874,$1549166084.00
201200A,561600,Investigation & security services,867,$485774417.89
200700A,314000,Textile product mills,300,$225040758.00
201300A,624200,"Community food & housing, & emergency & other relief services",115,$6541563.00
200600A,531390,Other activities related to real estate,250,$146128624.90
201000A,811490,Other personal &  household goods repair & maintenance,929,$25758756.50
200600A,711300,"Promoters of performing arts, sports, & similar events",1332,$1308461846.10
200700A,424990,Other miscellaneous nondurable goods,2471,$1764267970.00
200700A,325100,Basic chemical mfg.,13,$12631584.00
201000A,532400,Commercial & industrial machinery & equipment rental & leasing,312,$707789571.44
201100A,423300,Lumber & other construction materials,271,$534241032.00
201200A,423920,Toy & hobby goods & supplies,267,$96049984.00
201400A,448210,Shoe stores,467,$252939958.84
201400A,711100,Performing arts companies,713,$439081243.40
201700A,447100,Gasoline stations (including convenience stores with gas),3,$0.00
200800A,532210,Consumer electronics & appliances rental,621,$569185010.00
200800A,337000,Furniture & related product mfg.,161,$51979667.00
201100A,812111,Barber shops,2513,$80264801.78
200500A,234120,Bridge and Tunnel Construction (1997 NAICS),71,$23000704.11
201100A,311600,Animal Slaughtering and Processing,12,$45807623.00
201000A,441110,New car dealers,347,$2445232723.09
201500A,523140,Commodity contracts brokers,25,$16543292.00
201300A,115210,Support activities for animal production (including farriers),274,$21639816.80
201000A,711510,"Independent artists, writers, & performers",9310,$887177098.10
201300A,423500,Metal & mineral (except petroleum),254,$322533130.00
201400A,444190,Other building materials dealers,415,$968422549.00
200900A,561740,Carpet & upholstery cleaning services,481,$27981883.00
200800A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",336,$182910813.76
200700A,622000,Hospitals,112,$704346392.00
200600A,424210,Drugs & druggists' sundries,175,$240754667.28
201500A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",315,$56819336.00
201500A,445100,Grocery stores (including supermarkets & convenience stores without gas),1768,$6273889908.04
201300A,311400,Fruit & vegetable preserving & speciality food mfg.,277,$136110307.00
200900A,561210,Facilities support (management) services,152,$61253066.00
200800A,446120,"Cosmetics, beauty supplies, & perfume stores",436,$161822023.00
200700A,722211,Limited-service eating places,452,$142687882.00
200700A,812920,Photofinishing,90,$6779139.00
201400A,541219,Other accounting services,3258,$966577976.20
200500A,541930,Translation & interpretation services,45,$5988444.00
201700A,446130,Optical goods stores,4,$0.00
200900A,424950,"Paint, varnish, & supplies",74,$124839481.00
201400A,562000,Waste management & remediation services,216,$199427994.00
201500A,451120,"Hobby, toy, & game stores",255,$108554907.00
200800A,721310,Rooming & boarding houses,262,$206811068.00
200900A,445100,Grocery stores (including supermarkets & convenience stores without gas),1398,$4832602862.00
200500A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",38,$1597402825.00
201700A,541340,Drafting services,17,$458342.00
201200A,424800,"Beer, wine, & distilled alcoholic beverage",99,$70260348.20
201400A,447100,Gasoline stations (including convenience stores with gas),616,$3028715795.95
201400A,336000,Transportation equipment mfg.,94,$119606556.00
201200A,334000,Computer & electronic product mfg.,1014,$463437659.83
201500A,541990,"All other professional, scientific, & technical services",11981,$2083289009.80
201200A,445290,Home furnishings stores,622,$373062141.38
201000A,325900,Other chemical products & preparation mfg.,99,$40552438.00
201600A,423700,"Hardware, & plumbing & heating equipment  & supplies",222,$466039003.00
200700A,541940,Veterinary services,169,$171284387.00
201500A,999999,Unclassified establishments (unable to classify),2381,$170563673.35
200600A,812990,All other personal services,3311,$102929882.93
200700A,454310,Fuel dealers,57,$198465745.00
200900A,313000,Textile mills,73,$20567873.00
201300A,424800,"Beer, wine, & distilled alcoholic beverage",109,$84402288.00
201200A,339900,Other miscellaneous mfg.,1689,$544709882.43
201200A,445100,Grocery stores (including supermarkets & convenience stores without gas),1542,$5348681655.09
201700A,448150,Clothing accessories stores,36,$722358.00
201000A,541910,Market research & public opinion polling,225,$146234436.00
201500A,424500,Farm product raw materials,58,$135869495.00
201200A,311800,Bakeries & tortilla mfg.,511,$109349477.00
200800A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),400,$31504566.00
201700A,524290,Other insurance related activities,11,$274025.00
201300A,448140,Family clothing stores,1104,$558831785.88
200600A,811420,Reupholstery & furniture repair,136,$19798350.00
201200A,234110,Highway and Street Construction (1997 NAICS),36,$260684442.00
201100A,311400,Fruit & vegetable preserving & speciality food mfg.,187,$92600799.00
200600A,541910,Market research & public opinion polling,84,$131874317.00
200600A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",26,$7156290.00
201300A,451120,"Hobby, toy, & game stores",218,$92271191.61
201100A,621340,"Offices of physical, occupational & speech therapists, & audiologists",664,$64870822.00
201600A,624410,Child day care services,2112,$208890434.11
200900A,332000,Fabricated metal product mfg.,224,$406598826.00
201700A,561710,Exterminating & pest control services,4,$0.00
201400A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",286,$53104436.00
201300A,517000,Telecommunications,187,$1115669149.00
201300A,811490,Other personal &  household goods repair & maintenance,1289,$50178482.50
200500A,812210,Funeral homes & funeral services,29,$18304023.00
200800A,621510,Medical & diagnostic laboratories,261,$501485119.43
200600A,,,286154,$55416867104.18
201600A,722211,Limited-service eating places,2214,$854194031.00
201400A,722110,Full-service restaurants,6770,$4640670425.23
201500A,722410,Drinking places (alcoholic beverages),265,$71202952.01
201100A,454111,Electronic shopping,321,$20722160.39
201400A,448150,Clothing accessories stores,1176,$303869474.00
201100A,423500,Metal & mineral (except petroleum),252,$283669781.00
201100A,424950,"Paint, varnish, & supplies",66,$102644645.00
200900A,451110,Sporting goods stores,267,$160368142.00
201600A,531210,Offices of real estate agents & brokers,2225,$1173044826.62
200900A,454111,Electronic shopping,281,$26699146.52
201100A,561720,Janitorial services,7980,$367618056.38
201600A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5304,$2718788107.47
200600A,541340,Drafting services,47,$834906.00
200600A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5592,$2219758268.62
201100A,235930,Excavation Contractors (1997 NAICS),55,$59723770.00
201000A,235310,Electrical Contractors (1997 NAICS),1940,$544787425.08
201700A,423940,"Jewelry, watch, precious stone, & precious metals",51,$3898913.00
200500A,812111,Barber shops,1185,$31264979.60
201000A,485300,Taxi & limousine service,576,$2347010.00
201300A,446110,Pharmacies & drug stores,528,$3329142051.00
201000A,115310,Support activities for forestry,300,$32403013.77
201200A,516110,Internet publishing & broadcasting,853,$170938586.54
201500A,238340,Tile & terrazzo contractors,254,$57923860.00
201500A,443130,Camera & photographic supplies stores,109,$15574914.00
201200A,337000,Furniture & related product mfg.,293,$101987968.00
201000A,424400,Grocery & related products,1280,$4946444489.65
201500A,518111,Internet service providers,294,$816497766.57
201400A,811110,Automotive mechanical & electrical repair & maintenance,2149,$207053461.09
201300A,561210,Facilities support (management) services,212,$123279009.00
201000A,485210,Interurban & rural bus transportation,25,$10958055.00
200600A,541920,Photographic services,1227,$137234010.93
201500A,325900,Other chemical products & preparation mfg.,164,$118087089.00
201100A,446110,Pharmacies & drug stores,483,$3085702079.63
200500A,711100,Performing arts companies,86,$174092448.00
201000A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,228,$110721493.00
201700A,484200,Specialized freight trucking (including household moving vans),4,$0.00
